Event,Date,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Fighter 1,First Name F_1,Last Name F_1,Nickname F_1,Height F_1,Weight F_1,Reach F_1,Stance F_1,Wins F_1,Losses F_1,Draws F_1,DOB F_1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,First Name F_2,Last Name F_2,Nickname F_2,Height F_2,Weight F_2,Reach F_2,Stance F_2,Wins F_2,Losses F_2,Draws F_2,DOB F_2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC Fight Night: Costa vs. Vettori,2021-10-23,Middleweight,Gregory Rodrigues,Junyong Park,KO/TKO,Punch,2,193,Gregory Rodrigues,Gregory,Rodrigues,Robocop,75.0,185.0,75.0,Orthodox,11,3,0,1992-02-17,0.0,68.0,90.0,0.75,75.0,98.0,2.0,4.0,0.5,0.0,1.0,200.0,53.0,73.0,15.0,16.0,0.0,1.0,57.0,77.0,3.0,3.0,8.0,10.0,Junyong Park,Junyong,Park,The Iron Turtle,70.0,185.0,73.0,Orthodox,13,5,0,1991-02-27,0.0,56.0,109.0,0.51,59.0,112.0,0.0,0.0,,0.0,0.0,29.0,50.0,103.0,0.0,0.0,6.0,6.0,54.0,106.0,2.0,3.0,0.0,0.0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Lightweight,Mason Jones,David Onama,U-DEC,,3,300,Mason Jones,Mason,Jones,Dragon,70.0,155.0,74.0,Orthodox,11,1,0,1995-04-26,0.0,87.0,157.0,0.55,116.0,191.0,8.0,14.0,0.57,0.0,0.0,541.0,65.0,133.0,20.0,22.0,2.0,2.0,69.0,130.0,10.0,18.0,8.0,9.0,David Onama,David,Onama,,71.0,155.0,74.0,Orthodox,8,1,0,1994-06-07,0.0,90.0,153.0,0.58,121.0,186.0,0.0,1.0,0.0,0.0,0.0,11.0,80.0,142.0,8.0,9.0,2.0,2.0,70.0,128.0,19.0,23.0,1.0,2.0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Women's Strawweight,Tabatha Ricci,Maria Oliveira,U-DEC,,3,300,Tabatha Ricci,Tabatha,Ricci,Baby Shark,61.0,115.0,61.0,Orthodox,6,1,0,1995-02-21,0.0,62.0,135.0,0.45,103.0,187.0,5.0,11.0,0.45,0.0,0.0,398.0,42.0,109.0,12.0,16.0,8.0,10.0,29.0,98.0,5.0,5.0,28.0,32.0,Maria Oliveira,Maria,Oliveira,Spider-Girl,65.0,115.0,69.0,Orthodox,12,5,0,1996-12-12,0.0,66.0,178.0,0.37,90.0,207.0,0.0,0.0,,0.0,0.0,1.0,34.0,128.0,18.0,33.0,14.0,17.0,61.0,172.0,4.0,4.0,1.0,2.0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Middleweight,Jamie Pickett,Laureano Staropoli,U-DEC,,3,300,Jamie Pickett,Jamie,Pickett,The Night Wolf,74.0,185.0,80.0,Orthodox,12,6,0,1988-08-29,0.0,47.0,96.0,0.48,58.0,108.0,2.0,2.0,1.0,0.0,0.0,157.0,23.0,64.0,23.0,30.0,1.0,2.0,26.0,72.0,21.0,23.0,0.0,1.0,Laureano Staropoli,Laureano,Staropoli,Pepi,73.0,185.0,71.0,Orthodox,9,5,0,1993-02-27,0.0,25.0,62.0,0.4,43.0,80.0,1.0,9.0,0.11,0.0,0.0,326.0,14.0,48.0,8.0,11.0,3.0,3.0,19.0,54.0,6.0,8.0,0.0,0.0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Lightweight,Jai Herbert,Khama Worthy,KO/TKO,Punches,1,167,Jai Herbert,Jai,Herbert,Black Country Banger,73.0,155.0,77.0,Orthodox,11,3,0,1988-05-13,1.0,24.0,46.0,0.52,25.0,47.0,0.0,0.0,,0.0,0.0,5.0,21.0,40.0,1.0,1.0,2.0,5.0,19.0,39.0,2.0,2.0,3.0,5.0,Khama Worthy,Khama,Worthy,The Death Star,71.0,155.0,74.0,Orthodox,16,9,0,1986-10-15,0.0,11.0,21.0,0.52,11.0,21.0,0.0,0.0,,0.0,0.0,0.0,5.0,13.0,1.0,1.0,5.0,7.0,11.0,21.0,0.0,0.0,0.0,0.0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Flyweight,Jeff Molina,Daniel Da Silva,KO/TKO,Punches,2,46,Jeff Molina,Jeff,Molina,El Jefe,66.0,125.0,69.0,Orthodox,10,2,0,1997-07-17,1.0,47.0,62.0,0.75,106.0,131.0,0.0,0.0,,0.0,0.0,206.0,39.0,54.0,6.0,6.0,2.0,2.0,9.0,13.0,0.0,0.0,38.0,49.0,Daniel Da Silva,Daniel,Da Silva,Miojo,66.0,125.0,70.0,Switch,11,2,0,1996-06-05,0.0,20.0,25.0,0.8,31.0,37.0,0.0,2.0,0.0,0.0,0.0,55.0,7.0,11.0,7.0,8.0,6.0,6.0,14.0,16.0,0.0,1.0,6.0,8.0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Women's Strawweight,Randa Markos,Livinha Souza,U-DEC,,3,300,Randa Markos,Randa,Markos,Quiet Storm,64.0,115.0,63.0,Orthodox,11,12,1,1985-08-10,0.0,65.0,96.0,0.67,159.0,207.0,0.0,0.0,,0.0,2.0,527.0,55.0,85.0,7.0,8.0,3.0,3.0,29.0,55.0,20.0,25.0,16.0,16.0,Livinha Souza,Livinha,Souza,The Brazilian Gangsta,63.0,115.0,63.0,Orthodox,14,4,0,1991-03-11,0.0,11.0,27.0,0.4,51.0,71.0,3.0,6.0,0.5,2.0,0.0,211.0,7.0,23.0,3.0,3.0,1.0,1.0,6.0,20.0,3.0,5.0,2.0,2.0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Bantamweight,Jonathan Martinez,Zviad Lazishvili,U-DEC,,3,300,Jonathan Martinez,Jonathan,Martinez,Dragon,68.0,135.0,70.0,Southpaw,14,4,0,1994-04-20,0.0,92.0,188.0,0.48,94.0,191.0,0.0,0.0,,0.0,0.0,0.0,65.0,154.0,14.0,19.0,13.0,15.0,92.0,188.0,0.0,0.0,0.0,0.0,Zviad Lazishvili,Zviad,Lazishvili,,66.0,135.0,69.0,Orthodox,13,1,0,1991-10-25,0.0,63.0,160.0,0.39,66.0,163.0,0.0,6.0,0.0,0.0,0.0,90.0,25.0,115.0,17.0,22.0,21.0,23.0,60.0,153.0,3.0,7.0,0.0,0.0
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Women's Featherweight,Norma Dumont,Aspen Ladd,U-DEC,,5,300,Norma Dumont,Norma,Dumont,The Immortal,67.0,145.0,67.0,Orthodox,7,1,0,1990-10-01,0.0,65.0,149.0,0.43,113.0,201.0,1.0,1.0,1.0,0.0,0.0,107.0,48.0,129.0,15.0,18.0,2.0,2.0,51.0,134.0,14.0,15.0,0.0,0.0,Aspen Ladd,Aspen,Ladd,,66.0,145.0,66.0,Orthodox,9,2,0,1995-03-01,0.0,33.0,110.0,0.3,86.0,166.0,0.0,5.0,0.0,0.0,1.0,452.0,28.0,103.0,2.0,3.0,3.0,4.0,17.0,85.0,8.0,12.0,8.0,13.0
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Heavyweight,Andrei Arlovski,Carlos Felipe,U-DEC,,3,300,Andrei Arlovski,Andrei,Arlovski,The Pitbull,75.0,240.0,77.0,Orthodox,32,20,0,1979-02-04,0.0,83.0,172.0,0.48,84.0,173.0,0.0,0.0,,0.0,0.0,0.0,49.0,133.0,11.0,15.0,23.0,24.0,81.0,170.0,2.0,2.0,0.0,0.0,Carlos Felipe,Carlos,Felipe,Boi,72.0,245.0,75.0,Orthodox,11,2,0,1995-01-12,0.0,73.0,172.0,0.42,73.0,172.0,0.0,0.0,,0.0,0.0,82.0,53.0,145.0,15.0,21.0,5.0,6.0,54.0,148.0,12.0,14.0,7.0,10.0
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Lightweight,Jim Miller,Erick Gonzalez,KO/TKO,Punch,2,14,Jim Miller,Jim,Miller,A-10,68.0,155.0,71.0,Southpaw,33,16,0,1983-08-30,1.0,32.0,48.0,0.66,43.0,60.0,1.0,2.0,0.5,0.0,0.0,115.0,25.0,41.0,4.0,4.0,3.0,3.0,18.0,30.0,8.0,10.0,6.0,8.0,Erick Gonzalez,Erick,Gonzalez,,71.0,155.0,75.0,Orthodox,14,6,0,1992-01-20,0.0,14.0,37.0,0.37,22.0,45.0,1.0,2.0,0.5,0.0,0.0,62.0,10.0,30.0,3.0,5.0,1.0,2.0,11.0,33.0,2.0,2.0,1.0,2.0
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Women's Flyweight,Manon Fiorot,Mayra Bueno Silva,U-DEC,,3,300,Manon Fiorot,Manon,Fiorot,The Beast,67.0,125.0,65.0,Orthodox,8,1,0,1990-02-17,0.0,91.0,267.0,0.34,112.0,291.0,2.0,6.0,0.33,0.0,0.0,245.0,47.0,218.0,37.0,42.0,7.0,7.0,79.0,245.0,4.0,8.0,8.0,14.0,Mayra Bueno Silva,Mayra,Bueno Silva,Sheetara,66.0,125.0,66.0,Orthodox,7,2,1,1991-08-22,0.0,48.0,111.0,0.43,92.0,156.0,0.0,0.0,,0.0,0.0,4.0,13.0,55.0,21.0,32.0,14.0,24.0,39.0,100.0,7.0,9.0,2.0,2.0
