Fighter 1,Fighter 2,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Event,Date
James Vick,Nick Hein,Lightweight,James Vick,Nick Hein,U-DEC,,3,300,UFC Fight Night: Edgar vs Swanson,2014-11-22
Akbarh Arreola,Yves Edwards,Lightweight,Akbarh Arreola,Yves Edwards,SUB,Armbar,1,112,UFC Fight Night: Edgar vs Swanson,2014-11-22
Paige VanZant,Kailin Curran,Women's Strawweight,Paige VanZant,Kailin Curran,KO/TKO,Punches,3,174,UFC Fight Night: Edgar vs Swanson,2014-11-22
Dooho Choi,Juan Manuel Puig,Featherweight,Dooho Choi,Juan Manuel Puig,KO/TKO,Punch,1,18,UFC Fight Night: Edgar vs Swanson,2014-11-22
Fabricio Werdum,Mark Hunt,Heavyweight,Fabricio Werdum,Mark Hunt,KO/TKO,Flying Knee,2,147,UFC 180: Werdum vs Hunt,2014-11-15
Kelvin Gastelum,Jake Ellenberger,Welterweight,Kelvin Gastelum,Jake Ellenberger,SUB,Rear Naked Choke,1,286,UFC 180: Werdum vs Hunt,2014-11-15
Ricardo Lamas,Dennis Bermudez,Featherweight,Ricardo Lamas,Dennis Bermudez,SUB,Guillotine Choke,1,198,UFC 180: Werdum vs Hunt,2014-11-15
Augusto Montano,Chris Heatherly,Welterweight,Augusto Montano,Chris Heatherly,KO/TKO,Knees,1,290,UFC 180: Werdum vs Hunt,2014-11-15
Hector Urbina,Edgar Garcia,Welterweight,Hector Urbina,Edgar Garcia,SUB,Guillotine Choke,1,218,UFC 180: Werdum vs Hunt,2014-11-15
Yair Rodriguez,Leonardo Morales,Featherweight,Yair Rodriguez,Leonardo Morales,U-DEC,,3,300,UFC 180: Werdum vs Hunt,2014-11-15
Alejandro Perez,Jose Quinonez,Bantamweight,Alejandro Perez,Jose Quinonez,U-DEC,,3,300,UFC 180: Werdum vs Hunt,2014-11-15
Jessica Eye,Leslie Smith,Women's Bantamweight,Jessica Eye,Leslie Smith,KO/TKO,,2,90,UFC 180: Werdum vs Hunt,2014-11-15
Gabriel Benitez,Humberto Brown Morrison,Featherweight,Gabriel Benitez,Humberto Brown Morrison,SUB,Guillotine Choke,3,30,UFC 180: Werdum vs Hunt,2014-11-15
Henry Briones,Guido Cannetti,Bantamweight,Henry Briones,Guido Cannetti,SUB,Rear Naked Choke,2,104,UFC 180: Werdum vs Hunt,2014-11-15
Marco Beltran,Marlon Vera,Bantamweight,Marco Beltran,Marlon Vera,U-DEC,,3,300,UFC 180: Werdum vs Hunt,2014-11-15
Ovince Saint Preux,Mauricio Rua,Light Heavyweight,Ovince Saint Preux,Mauricio Rua,KO/TKO,Punch,1,34,UFC Fight Night 56: Shogun vs Saint Preux,2014-11-08
Warlley Alves,Alan Jouban,Welterweight,Warlley Alves,Alan Jouban,U-DEC,,3,300,UFC Fight Night 56: Shogun vs Saint Preux,2014-11-08
Claudio Silva,Leon Edwards,Welterweight,Claudio Silva,Leon Edwards,S-DEC,,3,300,UFC Fight Night 56: Shogun vs Saint Preux,2014-11-08
Dhiego Lima,Jorge de Oliveira,Welterweight,Dhiego Lima,Jorge de Oliveira,U-DEC,,3,300,UFC Fight Night 56: Shogun vs Saint Preux,2014-11-08
Juliana Lima,Nina Nunes,Women's Strawweight,Juliana Lima,Nina Nunes,U-DEC,,3,300,UFC Fight Night 56: Shogun vs Saint Preux,2014-11-08
Diego Rivas,Rodolfo Rubio Perez,Featherweight,Diego Rivas,Rodolfo Rubio Perez,U-DEC,,3,300,UFC Fight Night 56: Shogun vs Saint Preux,2014-11-08
Caio Magalhaes,Trevor Smith,Middleweight,Caio Magalhaes,Trevor Smith,KO/TKO,Punch,1,31,UFC Fight Night 56: Shogun vs Saint Preux,2014-11-08
Leandro Silva,Charlie Brenneman,Lightweight,Leandro Silva,Charlie Brenneman,SUB,Rear Naked Choke,1,255,UFC Fight Night 56: Shogun vs Saint Preux,2014-11-08
Thomas Almeida,Tim Gorman,Bantamweight,Thomas Almeida,Tim Gorman,U-DEC,,3,300,UFC Fight Night 56: Shogun vs Saint Preux,2014-11-08
Colby Covington,Wagner Silva,Welterweight,Colby Covington,Wagner Silva,SUB,Rear Naked Choke,3,206,UFC Fight Night 56: Shogun vs Saint Preux,2014-11-08
Luke Rockhold,Michael Bisping,Middleweight,Luke Rockhold,Michael Bisping,SUB,Guillotine Choke,2,57,UFC Fight Night: Rockhold vs Bisping,2014-11-07
Al Iaquinta,Ross Pearson,Lightweight,Al Iaquinta,Ross Pearson,KO/TKO,Punch,2,99,UFC Fight Night: Rockhold vs Bisping,2014-11-07
Robert Whittaker,Clint Hester,Middleweight,Robert Whittaker,Clint Hester,KO/TKO,Knee,2,163,UFC Fight Night: Rockhold vs Bisping,2014-11-07
Soa Palelei,Walt Harris,Heavyweight,Soa Palelei,Walt Harris,KO/TKO,Punches,2,289,UFC Fight Night: Rockhold vs Bisping,2014-11-07
Jake Matthews,Vagner Rocha,Lightweight,Jake Matthews,Vagner Rocha,SUB,Rear Naked Choke,2,112,UFC Fight Night: Rockhold vs Bisping,2014-11-07
Anthony Perosh,Guto Inocente,Light Heavyweight,Anthony Perosh,Guto Inocente,SUB,Rear Naked Choke,1,226,UFC Fight Night: Rockhold vs Bisping,2014-11-07
Sam Alvey,Dylan Andrews,Middleweight,Sam Alvey,Dylan Andrews,KO/TKO,Punches,1,136,UFC Fight Night: Rockhold vs Bisping,2014-11-07
Louis Smolka,Richie Vaculik,Flyweight,Louis Smolka,Richie Vaculik,KO/TKO,Kick,3,18,UFC Fight Night: Rockhold vs Bisping,2014-11-07
Chris Clements,Vik Grujic,Welterweight,Chris Clements,Vik Grujic,KO/TKO,Knee,1,186,UFC Fight Night: Rockhold vs Bisping,2014-11-07
Daniel Kelly,Luke Zachrich,Middleweight,Daniel Kelly,Luke Zachrich,SUB,Kimura,1,267,UFC Fight Night: Rockhold vs Bisping,2014-11-07
Marcus Brimage,Jumabieke Tuerxun,Bantamweight,Marcus Brimage,Jumabieke Tuerxun,KO/TKO,Kick,1,178,UFC Fight Night: Rockhold vs Bisping,2014-11-07
Jose Aldo,Chad Mendes,Featherweight,Jose Aldo,Chad Mendes,U-DEC,,5,300,UFC 179: Aldo vs Mendes 2,2014-10-25
Phil Davis,Glover Teixeira,Light Heavyweight,Phil Davis,Glover Teixeira,U-DEC,,3,300,UFC 179: Aldo vs Mendes 2,2014-10-25
Fabio Maldonado,Hans Stringer,Light Heavyweight,Fabio Maldonado,Hans Stringer,KO/TKO,Punches,2,246,UFC 179: Aldo vs Mendes 2,2014-10-25
Darren Elkins,Lucas Martins,Featherweight,Darren Elkins,Lucas Martins,S-DEC,,3,300,UFC 179: Aldo vs Mendes 2,2014-10-25
Beneil Dariush,Diego Ferreira,Lightweight,Beneil Dariush,Diego Ferreira,U-DEC,,3,300,UFC 179: Aldo vs Mendes 2,2014-10-25
Neil Magny,William Macario,Welterweight,Neil Magny,William Macario,KO/TKO,Punches,3,160,UFC 179: Aldo vs Mendes 2,2014-10-25
Yan Cabral,Naoyuki Kotani,Lightweight,Yan Cabral,Naoyuki Kotani,SUB,Rear Naked Choke,2,186,UFC 179: Aldo vs Mendes 2,2014-10-25
Wilson Reis,Scott Jorgensen,Flyweight,Wilson Reis,Scott Jorgensen,SUB,Arm Triangle,1,208,UFC 179: Aldo vs Mendes 2,2014-10-25
Andre Fili,Felipe Arantes,Featherweight,Andre Fili,Felipe Arantes,U-DEC,,3,300,UFC 179: Aldo vs Mendes 2,2014-10-25
Gilbert Burns,Christos Giagos,Lightweight,Gilbert Burns,Christos Giagos,SUB,Armbar,1,297,UFC 179: Aldo vs Mendes 2,2014-10-25
Anthony Rocco Martin,Fabricio Camoes,Lightweight,Anthony Rocco Martin,Fabricio Camoes,SUB,Kimura,1,256,UFC 179: Aldo vs Mendes 2,2014-10-25
Rory MacDonald,Tarec Saffiedine,Welterweight,Rory MacDonald,Tarec Saffiedine,KO/TKO,Punch,3,88,UFC Fight Night: MacDonald vs Saffiedine,2014-10-04
Raphael Assuncao,Bryan Caraway,Bantamweight,Raphael Assuncao,Bryan Caraway,U-DEC,,3,300,UFC Fight Night: MacDonald vs Saffiedine,2014-10-04
Chad Laprise,Yosdenis Cedeno,Lightweight,Chad Laprise,Yosdenis Cedeno,U-DEC,,3,300,UFC Fight Night: MacDonald vs Saffiedine,2014-10-04
Elias Theodorou,Bruno Santos,Middleweight,Elias Theodorou,Bruno Santos,U-DEC,,3,300,UFC Fight Night: MacDonald vs Saffiedine,2014-10-04
Nordine Taleb,Li Jingliang,Welterweight,Nordine Taleb,Li Jingliang,S-DEC,,3,300,UFC Fight Night: MacDonald vs Saffiedine,2014-10-04
Mitch Gagnon,Roman Salazar,Bantamweight,Mitch Gagnon,Roman Salazar,SUB,Rear Naked Choke,1,126,UFC Fight Night: MacDonald vs Saffiedine,2014-10-04
Daron Cruickshank,Anthony Njokuani,Lightweight,Daron Cruickshank,Anthony Njokuani,U-DEC,,3,300,UFC Fight Night: MacDonald vs Saffiedine,2014-10-04
Olivier Aubin-Mercier,Jake Lindsey,Lightweight,Olivier Aubin-Mercier,Jake Lindsey,SUB,Inverted Triangle,2,202,UFC Fight Night: MacDonald vs Saffiedine,2014-10-04
Paul Felder,Jason Saggo,Lightweight,Paul Felder,Jason Saggo,S-DEC,,3,300,UFC Fight Night: MacDonald vs Saffiedine,2014-10-04
Chris Kelades,Paddy Holohan,Flyweight,Chris Kelades,Paddy Holohan,U-DEC,,3,300,UFC Fight Night: MacDonald vs Saffiedine,2014-10-04
Albert Tumenov,Matt Dwyer,Welterweight,Albert Tumenov,Matt Dwyer,KO/TKO,Kick,1,63,UFC Fight Night: MacDonald vs Saffiedine,2014-10-04
Pedro Munhoz,Jerrod Sanders,Bantamweight,NO CONTEST,NO CONTEST,Overturned,Guillotine Choke,1,39,UFC Fight Night: MacDonald vs Saffiedine,2014-10-04
Rick Story,Gunnar Nelson,Welterweight,Rick Story,Gunnar Nelson,S-DEC,,5,300,UFC Fight Night: Nelson vs Story,2014-10-04
Max Holloway,Akira Corassani,Featherweight,Max Holloway,Akira Corassani,KO/TKO,Punch,1,191,UFC Fight Night: Nelson vs Story,2014-10-04
Jan Blachowicz,Ilir Latifi,Light Heavyweight,Jan Blachowicz,Ilir Latifi,KO/TKO,Kick,1,118,UFC Fight Night: Nelson vs Story,2014-10-04
Mike Wilkinson,Niklas Backstrom,Featherweight,Mike Wilkinson,Niklas Backstrom,KO/TKO,Punch,1,79,UFC Fight Night: Nelson vs Story,2014-10-04
Magnus Cedenblad,Scott Askham,Middleweight,Magnus Cedenblad,Scott Askham,U-DEC,,3,300,UFC Fight Night: Nelson vs Story,2014-10-04
Nicholas Musoke,Alexander Yakovlev,Welterweight,Nicholas Musoke,Alexander Yakovlev,U-DEC,,3,300,UFC Fight Night: Nelson vs Story,2014-10-04
Dennis Siver,Charles Rosa,Featherweight,Dennis Siver,Charles Rosa,U-DEC,,3,300,UFC Fight Night: Nelson vs Story,2014-10-04
Cathal Pendred,Gasan Umalatov,Welterweight,Cathal Pendred,Gasan Umalatov,S-DEC,,3,300,UFC Fight Night: Nelson vs Story,2014-10-04
Krzysztof Jotko,Tor Troeng,Middleweight,Krzysztof Jotko,Tor Troeng,U-DEC,,3,300,UFC Fight Night: Nelson vs Story,2014-10-04
Mairbek Taisumov,Marcin Bandel,Lightweight,Mairbek Taisumov,Marcin Bandel,KO/TKO,Punch,1,61,UFC Fight Night: Nelson vs Story,2014-10-04
Zubaira Tukhugov,Ernest Chavez,Featherweight,Zubaira Tukhugov,Ernest Chavez,KO/TKO,Punches,1,261,UFC Fight Night: Nelson vs Story,2014-10-04
Demetrious Johnson,Chris Cariaso,Flyweight,Demetrious Johnson,Chris Cariaso,SUB,Kimura,2,149,UFC 178: Johnson vs Cariaso,2014-09-27
Donald Cerrone,Eddie Alvarez,Lightweight,Donald Cerrone,Eddie Alvarez,U-DEC,,3,300,UFC 178: Johnson vs Cariaso,2014-09-27
Conor McGregor,Dustin Poirier,Featherweight,Conor McGregor,Dustin Poirier,KO/TKO,Punch,1,106,UFC 178: Johnson vs Cariaso,2014-09-27
Yoel Romero,Tim Kennedy,Middleweight,Yoel Romero,Tim Kennedy,KO/TKO,Punch,3,58,UFC 178: Johnson vs Cariaso,2014-09-27
Cat Zingano,Amanda Nunes,Women's Bantamweight,Cat Zingano,Amanda Nunes,KO/TKO,Punches,3,81,UFC 178: Johnson vs Cariaso,2014-09-27
Dominick Cruz,Takeya Mizugaki,Bantamweight,Dominick Cruz,Takeya Mizugaki,KO/TKO,Punches,1,61,UFC 178: Johnson vs Cariaso,2014-09-27
Jorge Masvidal,James Krause,Lightweight,Jorge Masvidal,James Krause,U-DEC,,3,300,UFC 178: Johnson vs Cariaso,2014-09-27
Stephen Thompson,Patrick Cote,Welterweight,Stephen Thompson,Patrick Cote,U-DEC,,3,300,UFC 178: Johnson vs Cariaso,2014-09-27
Brian Ebersole,John Howard,Welterweight,Brian Ebersole,John Howard,S-DEC,,3,300,UFC 178: Johnson vs Cariaso,2014-09-27
Kevin Lee,Jon Tuck,Lightweight,Kevin Lee,Jon Tuck,U-DEC,,3,300,UFC 178: Johnson vs Cariaso,2014-09-27
Manvel Gamburyan,Cody Gibson,Bantamweight,Manvel Gamburyan,Cody Gibson,SUB,Guillotine Choke,2,296,UFC 178: Johnson vs Cariaso,2014-09-27
Mark Hunt,Roy Nelson,Heavyweight,Mark Hunt,Roy Nelson,KO/TKO,Punch,2,180,UFC Fight Night: Hunt vs Nelson,2014-09-20
Myles Jury,Takanori Gomi,Lightweight,Myles Jury,Takanori Gomi,KO/TKO,Punch,1,92,UFC Fight Night: Hunt vs Nelson,2014-09-20
Yoshihiro Akiyama,Amir Sadollah,Welterweight,Yoshihiro Akiyama,Amir Sadollah,U-DEC,,3,300,UFC Fight Night: Hunt vs Nelson,2014-09-20
Miesha Tate,Rin Nakai,Women's Bantamweight,Miesha Tate,Rin Nakai,U-DEC,,3,300,UFC Fight Night: Hunt vs Nelson,2014-09-20
Kiichi Kunimoto,Richard Walsh,Welterweight,Kiichi Kunimoto,Richard Walsh,S-DEC,,3,300,UFC Fight Night: Hunt vs Nelson,2014-09-20
Kyoji Horiguchi,Jon Delos Reyes,Flyweight,Kyoji Horiguchi,Jon Delos Reyes,KO/TKO,Punches,1,228,UFC Fight Night: Hunt vs Nelson,2014-09-20
Masanori Kanehara,Alex Caceres,Bantamweight,Masanori Kanehara,Alex Caceres,U-DEC,,3,300,UFC Fight Night: Hunt vs Nelson,2014-09-20
Katsunori Kikuno,Sam Sicilia,Featherweight,Katsunori Kikuno,Sam Sicilia,SUB,Rear Naked Choke,2,98,UFC Fight Night: Hunt vs Nelson,2014-09-20
Hyun Gyu Lim,Takenori Sato,Welterweight,Hyun Gyu Lim,Takenori Sato,KO/TKO,Elbows,1,78,UFC Fight Night: Hunt vs Nelson,2014-09-20
Kyung Ho Kang,Michinori Tanaka,Bantamweight,Kyung Ho Kang,Michinori Tanaka,S-DEC,,3,300,UFC Fight Night: Hunt vs Nelson,2014-09-20
Johnny Case,Kazuki Tokudome,Lightweight,Johnny Case,Kazuki Tokudome,SUB,Guillotine Choke,2,154,UFC Fight Night: Hunt vs Nelson,2014-09-20
Maximo Blanco,Dan Hooker,Featherweight,Maximo Blanco,Dan Hooker,U-DEC,,3,300,UFC Fight Night: Hunt vs Nelson,2014-09-20
Andrei Arlovski,Antonio Silva,Heavyweight,Andrei Arlovski,Antonio Silva,KO/TKO,Punch,1,179,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13
Gleison Tibau,Piotr Hallmann,Lightweight,Gleison Tibau,Piotr Hallmann,S-DEC,,3,300,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13
Leonardo Santos,Efrain Escudero,Lightweight,Leonardo Santos,Efrain Escudero,U-DEC,,3,300,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13
Santiago Ponzinibbio,Wendell Oliveira Marques,Welterweight,Santiago Ponzinibbio,Wendell Oliveira Marques,KO/TKO,Punches,1,80,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13
Iuri Alcantara,Russell Doane,Bantamweight,Iuri Alcantara,Russell Doane,U-DEC,,3,300,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13
Jessica Andrade,Larissa Pacheco,Women's Bantamweight,Jessica Andrade,Larissa Pacheco,SUB,Guillotine Choke,1,273,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13
Godofredo Pepey,Dashon Johnson,Featherweight,Godofredo Pepey,Dashon Johnson,SUB,Armbar,1,269,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13
George Sullivan,Igor Araujo,Welterweight,George Sullivan,Igor Araujo,KO/TKO,Punch,2,151,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13
Francisco Trinaldo,Leandro Silva,Lightweight,Francisco Trinaldo,Leandro Silva,U-DEC,,3,300,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13
Sean Spencer,Paulo Thiago,Welterweight,Sean Spencer,Paulo Thiago,U-DEC,,3,300,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13
Rani Yahya,Johnny Bedford,Bantamweight,Rani Yahya,Johnny Bedford,SUB,Kimura,2,124,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13
Jacare Souza,Gegard Mousasi,Middleweight,Jacare Souza,Gegard Mousasi,SUB,Guillotine Choke,3,270,UFC Fight Night: Jacare vs Mousasi,2014-09-05
Ben Rothwell,Alistair Overeem,Heavyweight,Ben Rothwell,Alistair Overeem,KO/TKO,Punch,1,139,UFC Fight Night: Jacare vs Mousasi,2014-09-05
Matt Mitrione,Derrick Lewis,Heavyweight,Matt Mitrione,Derrick Lewis,KO/TKO,Punches,1,41,UFC Fight Night: Jacare vs Mousasi,2014-09-05
Joe Lauzon,Michael Chiesa,Lightweight,Joe Lauzon,Michael Chiesa,KO/TKO,,2,134,UFC Fight Night: Jacare vs Mousasi,2014-09-05
John Moraga,Justin Scoggins,Flyweight,John Moraga,Justin Scoggins,SUB,Guillotine Choke,2,47,UFC Fight Night: Jacare vs Mousasi,2014-09-05
Al Iaquinta,Rodrigo Damm,Lightweight,Al Iaquinta,Rodrigo Damm,KO/TKO,Elbows,3,146,UFC Fight Night: Jacare vs Mousasi,2014-09-05
Rafael Natal,Chris Camozzi,Middleweight,Rafael Natal,Chris Camozzi,S-DEC,,3,300,UFC Fight Night: Jacare vs Mousasi,2014-09-05
Chris Beal,Tateki Matsuda,Bantamweight,Chris Beal,Tateki Matsuda,U-DEC,,3,300,UFC Fight Night: Jacare vs Mousasi,2014-09-05
Chas Skelly,Sean Soriano,Featherweight,Chas Skelly,Sean Soriano,U-DEC,,3,300,UFC Fight Night: Jacare vs Mousasi,2014-09-05
TJ Dillashaw,Joe Soto,Bantamweight,TJ Dillashaw,Joe Soto,KO/TKO,Kick,5,140,UFC 177: Dillashaw vs Soto,2014-08-30
Tony Ferguson,Danny Castillo,Lightweight,Tony Ferguson,Danny Castillo,S-DEC,,3,300,UFC 177: Dillashaw vs Soto,2014-08-30
Bethe Correia,Shayna Baszler,Women's Bantamweight,Bethe Correia,Shayna Baszler,KO/TKO,Punches,2,116,UFC 177: Dillashaw vs Soto,2014-08-30
Diego Ferreira,Ramsey Nijem,Lightweight,Diego Ferreira,Ramsey Nijem,KO/TKO,Punch,2,113,UFC 177: Dillashaw vs Soto,2014-08-30
Yancy Medeiros,Damon Jackson,Lightweight,Yancy Medeiros,Damon Jackson,SUB,Bulldog Choke,2,114,UFC 177: Dillashaw vs Soto,2014-08-30
Derek Brunson,Lorenz Larkin,Middleweight,Derek Brunson,Lorenz Larkin,U-DEC,,3,300,UFC 177: Dillashaw vs Soto,2014-08-30
Anthony Hamilton,Ruan Potts,Heavyweight,Anthony Hamilton,Ruan Potts,KO/TKO,Punches,2,257,UFC 177: Dillashaw vs Soto,2014-08-30
Chris Wade,Cain Carrizosa,Lightweight,Chris Wade,Cain Carrizosa,SUB,Guillotine Choke,1,72,UFC 177: Dillashaw vs Soto,2014-08-30
Rafael Dos Anjos,Benson Henderson,Lightweight,Rafael Dos Anjos,Benson Henderson,KO/TKO,Punch,1,151,UFC Fight Night: Henderson vs Dos Anjos,2014-08-23
Jordan Mein,Mike Pyle,Welterweight,Jordan Mein,Mike Pyle,KO/TKO,Punch,1,72,UFC Fight Night: Henderson vs Dos Anjos,2014-08-23
Thales Leites,Francis Carmont,Middleweight,Thales Leites,Francis Carmont,KO/TKO,Punch,2,20,UFC Fight Night: Henderson vs Dos Anjos,2014-08-23
Max Holloway,Clay Collard,Catch Weight,Max Holloway,Clay Collard,KO/TKO,Punches,3,227,UFC Fight Night: Henderson vs Dos Anjos,2014-08-23
James Vick,Valmir Lazaro,Lightweight,James Vick,Valmir Lazaro,U-DEC,,3,300,UFC Fight Night: Henderson vs Dos Anjos,2014-08-23
Chas Skelly,Tom Niinimaki,Featherweight,Chas Skelly,Tom Niinimaki,SUB,Rear Naked Choke,1,155,UFC Fight Night: Henderson vs Dos Anjos,2014-08-23
Neil Magny,Alex Garcia,Welterweight,Neil Magny,Alex Garcia,U-DEC,,3,300,UFC Fight Night: Henderson vs Dos Anjos,2014-08-23
Beneil Dariush,Anthony Rocco Martin,Lightweight,Beneil Dariush,Anthony Rocco Martin,SUB,Arm Triangle,2,218,UFC Fight Night: Henderson vs Dos Anjos,2014-08-23
Matt Hobar,Aaron Phillips,Bantamweight,Matt Hobar,Aaron Phillips,U-DEC,,3,300,UFC Fight Night: Henderson vs Dos Anjos,2014-08-23
Ben Saunders,Chris Heatherly,Welterweight,Ben Saunders,Chris Heatherly,SUB,Omoplata,1,138,UFC Fight Night: Henderson vs Dos Anjos,2014-08-23
Wilson Reis,Joby Sanchez,Flyweight,Wilson Reis,Joby Sanchez,U-DEC,,3,300,UFC Fight Night: Henderson vs Dos Anjos,2014-08-23
Michael Bisping,Cung Le,Middleweight,Michael Bisping,Cung Le,KO/TKO,Knee,4,57,UFC Fight Night: Bisping vs Le,2014-08-23
Tyron Woodley,Dong Hyun Kim,Welterweight,Tyron Woodley,Dong Hyun Kim,KO/TKO,Punch,1,61,UFC Fight Night: Bisping vs Le,2014-08-23
Zhang Lipeng,Brendan O'Reilly,Lightweight,Zhang Lipeng,Brendan O'Reilly,U-DEC,,3,300,UFC Fight Night: Bisping vs Le,2014-08-23
Guangyou Ning,Jianping Yang,Featherweight,Guangyou Ning,Jianping Yang,U-DEC,,3,300,UFC Fight Night: Bisping vs Le,2014-08-23
Sai Wang,Danny Mitchell,Welterweight,Sai Wang,Danny Mitchell,U-DEC,,3,300,UFC Fight Night: Bisping vs Le,2014-08-23
Alberto Mina,Shinsho Anzai,Welterweight,Alberto Mina,Shinsho Anzai,KO/TKO,Punch,1,257,UFC Fight Night: Bisping vs Le,2014-08-23
Yuta Sasaki,Roland Delorme,Bantamweight,Yuta Sasaki,Roland Delorme,SUB,Rear Naked Choke,1,66,UFC Fight Night: Bisping vs Le,2014-08-23
Colby Covington,Anying Wang,Welterweight,Colby Covington,Anying Wang,KO/TKO,Punches,1,290,UFC Fight Night: Bisping vs Le,2014-08-23
Royston Wee,Yao Zhikui,Bantamweight,Royston Wee,Yao Zhikui,S-DEC,,3,300,UFC Fight Night: Bisping vs Le,2014-08-23
Milana Dudieva,Elizabeth Phillips,Women's Bantamweight,Milana Dudieva,Elizabeth Phillips,S-DEC,,3,300,UFC Fight Night: Bisping vs Le,2014-08-23
Ryan Bader,Ovince Saint Preux,Light Heavyweight,Ryan Bader,Ovince Saint Preux,U-DEC,,5,300,UFC Fight Night: Bader vs Saint Preux,2014-08-16
Ross Pearson,Gray Maynard,Lightweight,Ross Pearson,Gray Maynard,KO/TKO,Punch,2,95,UFC Fight Night: Bader vs Saint Preux,2014-08-16
Tim Boetsch,Brad Tavares,Middleweight,Tim Boetsch,Brad Tavares,KO/TKO,Punch,2,198,UFC Fight Night: Bader vs Saint Preux,2014-08-16
Alan Jouban,Seth Baczynski,Welterweight,Alan Jouban,Seth Baczynski,KO/TKO,Punch,1,263,UFC Fight Night: Bader vs Saint Preux,2014-08-16
Shawn Jordan,Jack May,Heavyweight,Shawn Jordan,Jack May,KO/TKO,Punches,3,123,UFC Fight Night: Bader vs Saint Preux,2014-08-16
Thiago Tavares,Robert Peralta,Featherweight,Thiago Tavares,Robert Peralta,SUB,Rear Naked Choke,1,267,UFC Fight Night: Bader vs Saint Preux,2014-08-16
Jussier Formiga,Zach Makovsky,Flyweight,Jussier Formiga,Zach Makovsky,U-DEC,,3,300,UFC Fight Night: Bader vs Saint Preux,2014-08-16
Sara McMann,Lauren Murphy,Women's Bantamweight,Sara McMann,Lauren Murphy,S-DEC,,3,300,UFC Fight Night: Bader vs Saint Preux,2014-08-16
Tom Watson,Sam Alvey,Middleweight,Tom Watson,Sam Alvey,U-DEC,,3,300,UFC Fight Night: Bader vs Saint Preux,2014-08-16
Frankie Saenz,Nolan Ticman,Bantamweight,Frankie Saenz,Nolan Ticman,U-DEC,,3,300,UFC Fight Night: Bader vs Saint Preux,2014-08-16
Robbie Lawler,Matt Brown,Welterweight,Robbie Lawler,Matt Brown,U-DEC,,5,300,UFC on FOX: Lawler vs Brown,2014-07-26
Anthony Johnson,Rogerio Nogueira,Light Heavyweight,Anthony Johnson,Rogerio Nogueira,KO/TKO,Punch,1,44,UFC on FOX: Lawler vs Brown,2014-07-26
Dennis Bermudez,Clay Guida,Featherweight,Dennis Bermudez,Clay Guida,SUB,Rear Naked Choke,2,177,UFC on FOX: Lawler vs Brown,2014-07-26
Bobby Green,Josh Thomson,Lightweight,Bobby Green,Josh Thomson,S-DEC,,3,300,UFC on FOX: Lawler vs Brown,2014-07-26
Jorge Masvidal,Daron Cruickshank,Lightweight,Jorge Masvidal,Daron Cruickshank,U-DEC,,3,300,UFC on FOX: Lawler vs Brown,2014-07-26
Patrick Cummins,Kyle Kingsbury,Light Heavyweight,Patrick Cummins,Kyle Kingsbury,U-DEC,,3,300,UFC on FOX: Lawler vs Brown,2014-07-26
Tim Means,Hernani Perpetuo,Welterweight,Tim Means,Hernani Perpetuo,U-DEC,,3,300,UFC on FOX: Lawler vs Brown,2014-07-26
Mike de la Torre,Brian Ortega,Featherweight,NO CONTEST,NO CONTEST,Overturned,,1,99,UFC on FOX: Lawler vs Brown,2014-07-26
Tiago dos Santos e Silva,Akbarh Arreola,Lightweight,Tiago dos Santos e Silva,Akbarh Arreola,U-DEC,,3,300,UFC on FOX: Lawler vs Brown,2014-07-26
Gilbert Burns,Andreas Stahl,Welterweight,Gilbert Burns,Andreas Stahl,U-DEC,,3,300,UFC on FOX: Lawler vs Brown,2014-07-26
Joanna Jedrzejczyk,Juliana Lima,Women's Strawweight,Joanna Jedrzejczyk,Juliana Lima,U-DEC,,3,300,UFC on FOX: Lawler vs Brown,2014-07-26
Noad Lahat,Steven Siler,Featherweight,Noad Lahat,Steven Siler,U-DEC,,3,300,UFC on FOX: Lawler vs Brown,2014-07-26
Conor McGregor,Diego Brandao,Featherweight,Conor McGregor,Diego Brandao,KO/TKO,Punch,1,245,UFC Fight Night: McGregor vs Brandao,2014-07-19
Gunnar Nelson,Zak Cummings,Welterweight,Gunnar Nelson,Zak Cummings,SUB,Rear Naked Choke,2,288,UFC Fight Night: McGregor vs Brandao,2014-07-19
Ian McCall,Brad Pickett,Flyweight,Ian McCall,Brad Pickett,U-DEC,,3,300,UFC Fight Night: McGregor vs Brandao,2014-07-19
Norman Parke,Naoyuki Kotani,Lightweight,Norman Parke,Naoyuki Kotani,KO/TKO,Punches,2,221,UFC Fight Night: McGregor vs Brandao,2014-07-19
