Fighter 1,Fighter 2,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Event,Date
Jared Cannonier,Kelvin Gastelum,Middleweight,Jared Cannonier,Kelvin Gastelum,U-DEC,,5,300,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21
Mark Madsen,Clay Guida,Lightweight,Mark Madsen,Clay Guida,S-DEC,,3,300,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21
Parker Porter,Chase Sherman,Heavyweight,Parker Porter,Chase Sherman,U-DEC,,3,300,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21
Saidyokub Kakhramonov,Trevin Jones,Bantamweight,Saidyokub Kakhramonov,Trevin Jones,SUB,Guillotine Choke,3,279,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21
Vinc Pichel,Austin Hubbard,Lightweight,Vinc Pichel,Austin Hubbard,U-DEC,,3,300,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21
Alexandre Pantoja,Brandon Royval,Flyweight,Alexandre Pantoja,Brandon Royval,SUB,Rear Naked Choke,2,106,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21
Austin Lingo,Luis Saldana,Featherweight,Austin Lingo,Luis Saldana,U-DEC,,3,300,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21
Brian Kelleher,Domingo Pilarte,Bantamweight,Brian Kelleher,Domingo Pilarte,U-DEC,,3,300,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21
Josiane Nunes,Bea Malecki,Women's Bantamweight,Josiane Nunes,Bea Malecki,KO/TKO,Punch,1,294,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21
William Knight,Fabio Cherant,Light Heavyweight,William Knight,Fabio Cherant,KO/TKO,Punch,1,238,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21
Ignacio Bahamondes,Roosevelt Roberts,Lightweight,Ignacio Bahamondes,Roosevelt Roberts,KO/TKO,Kick,3,295,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21
Ramiz Brahimaj,Sasha Palatnikov,Welterweight,Ramiz Brahimaj,Sasha Palatnikov,SUB,Rear Naked Choke,1,153,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21
