Event,Date,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Fighter 1,Height F_1,Weight F_1,Reach F_1,Stance F_1,Wins F_1,Losses F_1,Draws F_1,DOB F_1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,Height F_2,Weight F_2,Reach F_2,Stance F_2,Wins F_2,Losses F_2,Draws F_2,DOB F_2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC Fight Night: Costa vs. Vettori,2021-10-23,Middleweight,Gregory Rodrigues,Junyong Park,KO/TKO,Punch,2,193,Gregory Rodrigues,75,185,75,Orthodox,11,3,0,1992-02-17,0,68,90,0.75,75,98,2,4,0.5,0,1,200,53,73,15,16,0,1,57,77,3,3,8,10,Junyong Park,70,185,73,Orthodox,13,5,0,1991-02-27,0,56,109,0.51,59,112,0,0,0.0,0,0,29,50,103,0,0,6,6,54,106,2,3,0,0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Lightweight,Mason Jones,David Onama,Decision,Unanimous Decision,3,300,Mason Jones,70,155,74,Orthodox,11,1,0,1995-04-26,0,87,157,0.55,116,191,8,14,0.57,0,0,541,65,133,20,22,2,2,69,130,10,18,8,9,David Onama,71,155,74,Orthodox,8,1,0,1994-06-07,0,90,153,0.58,121,186,0,1,0.0,0,0,11,80,142,8,9,2,2,70,128,19,23,1,2
UFC Fight Night: Costa vs. Vettori,2021-10-23,Women's Strawweight,Tabatha Ricci,Maria Oliveira,Decision,Unanimous Decision,3,300,Tabatha Ricci,61,115,61,Orthodox,6,1,0,1995-02-21,0,62,135,0.45,103,187,5,11,0.45,0,0,398,42,109,12,16,8,10,29,98,5,5,28,32,Maria Oliveira,65,115,69,Orthodox,12,5,0,1996-12-12,0,66,178,0.37,90,207,0,0,0.0,0,0,1,34,128,18,33,14,17,61,172,4,4,1,2
UFC Fight Night: Costa vs. Vettori,2021-10-23,Middleweight,Jamie Pickett,Laureano Staropoli,Decision,Unanimous Decision,3,300,Jamie Pickett,74,185,80,Orthodox,12,6,0,1988-08-29,0,47,96,0.48,58,108,2,2,1.0,0,0,157,23,64,23,30,1,2,26,72,21,23,0,1,Laureano Staropoli,73,185,71,Orthodox,9,5,0,1993-02-27,0,25,62,0.4,43,80,1,9,0.11,0,0,326,14,48,8,11,3,3,19,54,6,8,0,0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Lightweight,Jai Herbert,Khama Worthy,KO/TKO,Punch,1,167,Jai Herbert,73,155,77,Orthodox,11,3,0,1988-05-13,1,24,46,0.52,25,47,0,0,0.0,0,0,5,21,40,1,1,2,5,19,39,2,2,3,5,Khama Worthy,71,155,74,Orthodox,16,9,0,1986-10-15,0,11,21,0.52,11,21,0,0,0.0,0,0,0,5,13,1,1,5,7,11,21,0,0,0,0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Flyweight,Jeff Molina,Daniel Da Silva,KO/TKO,Punch,2,46,Jeff Molina,66,125,69,Orthodox,10,2,0,1997-07-17,1,47,62,0.75,106,131,0,0,0.0,0,0,206,39,54,6,6,2,2,9,13,0,0,38,49,Daniel Da Silva,66,125,70,Switch,11,2,0,1996-06-05,0,20,25,0.8,31,37,0,2,0.0,0,0,55,7,11,7,8,6,6,14,16,0,1,6,8
UFC Fight Night: Costa vs. Vettori,2021-10-23,Women's Strawweight,Randa Markos,Livinha Souza,Decision,Unanimous Decision,3,300,Randa Markos,64,115,63,Orthodox,11,12,1,1985-08-10,0,65,96,0.67,159,207,0,0,0.0,0,2,527,55,85,7,8,3,3,29,55,20,25,16,16,Livinha Souza,63,115,63,Orthodox,14,4,0,1991-03-11,0,11,27,0.4,51,71,3,6,0.5,2,0,211,7,23,3,3,1,1,6,20,3,5,2,2
UFC Fight Night: Costa vs. Vettori,2021-10-23,Bantamweight,Jonathan Martinez,Zviad Lazishvili,Decision,Unanimous Decision,3,300,Jonathan Martinez,68,135,70,Southpaw,14,4,0,1994-04-20,0,92,188,0.48,94,191,0,0,0.0,0,0,0,65,154,14,19,13,15,92,188,0,0,0,0,Zviad Lazishvili,66,135,69,Orthodox,13,1,0,1991-10-25,0,63,160,0.39,66,163,0,6,0.0,0,0,90,25,115,17,22,21,23,60,153,3,7,0,0
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Women's Featherweight,Norma Dumont,Aspen Ladd,Decision,Unanimous Decision,5,300,Norma Dumont,67,145,67,Orthodox,7,1,0,1990-10-01,0,65,149,0.43,113,201,1,1,1.0,0,0,107,48,129,15,18,2,2,51,134,14,15,0,0,Aspen Ladd,66,145,66,Orthodox,9,2,0,1995-03-01,0,33,110,0.3,86,166,0,5,0.0,0,1,452,28,103,2,3,3,4,17,85,8,12,8,13
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Heavyweight,Andrei Arlovski,Carlos Felipe,Decision,Unanimous Decision,3,300,Andrei Arlovski,75,240,77,Orthodox,32,20,0,1979-02-04,0,83,172,0.48,84,173,0,0,0.0,0,0,0,49,133,11,15,23,24,81,170,2,2,0,0,Carlos Felipe,72,245,75,Orthodox,11,2,0,1995-01-12,0,73,172,0.42,73,172,0,0,0.0,0,0,82,53,145,15,21,5,6,54,148,12,14,7,10
